latitude,longitude,ts
60.1494344,24.9839856,16:23.0
22.5237342,88.346837,12:59.6
22.5444939,88.3855801,44:31.2
48.9101197,9.1770754,05:53.4
48.1067627,11.4774849,06:02.4
48.106695,11.477544,57:25.9
52.4041143,16.9114817,52:05.9
48.1469955,11.56116,05:16.1
48.1068349,11.4772924,02:21.0
48.1068384,11.4774324,51:35.4
48.1470438,11.561119,31:53.0
53.5471522,9.9775383,55:15.2
48.1470397,11.5611236,44:15.0
36.8840752,30.7021524,48:00.1
48.1069413,11.4774391,00:02.5
38.7175863,-9.1298076,58:41.0
48.1068213,11.4772715,40:33.1
48.1067904,11.4773776,53:09.4
48.1305158,11.5372552,19:48.0
48.1338182,11.568928,46:21.7
48.1470463,11.5611509,22:25.0
48.1068746,11.4780988,22:37.5
48.3955143,11.7424909,36:27.7
48.1347314,11.5704303,40:19.5
48.146983,11.5611624,59:42.2
48.1069364,11.4774953,08:08.3
48.1068199,11.4773768,58:38.7
48.1462209,11.5595108,31:54.1
48.1309346,11.5949682,38:39.6
48.1340579,11.5677579,24:12.0
48.10682,11.4774429,55:03.2
48.1068622,11.4773734,35:08.4
52.1741693,10.6694212,05:44.7
48.1068658,11.4775024,31:54.2
9.9335054,76.3794644,06:55.0
48.2627371,11.6671203,06:52.0
41.1428402,-8.611716,45:02.9
48.147096,11.5611384,47:49.4
48.1065128,11.479951,59:09.3
9.9365454,76.378741,51:52.4
48.106807,11.4774027,17:54.9
60.1860354,24.8216742,59:16.4
53.168236,8.6500799,54:28.1
47.5052362,19.0629066,43:42.7
48.1469315,11.5610697,29:28.8
48.1068118,11.4774826,56:45.4
48.1069512,11.4773406,30:40.0
48.2625399,11.6689574,24:00.2
41.3965306,2.1769468,08:40.4
48.106823,11.4775539,06:17.5
48.1067847,11.4773367,12:12.8
48.1067149,11.4773467,28:35.9
11.1028709,76.2655157,31:55.9
48.1068045,11.477435,30:51.8
48.1070068,11.4775687,45:14.1
48.1338302,11.5687038,14:59.8
48.1067708,11.4772797,06:22.7
52.319901,9.8078817,51:30.4
48.1779799,11.594046,42:00.5
9.9348926,76.3777049,38:53.6
48.2675752,11.6708209,12:21.0
48.1470836,11.5610192,07:11.0
48.2475736,11.6313735,16:26.6
48.1064988,11.4798772,53:28.1
48.1070012,11.4773885,53:04.0
50.8536048,4.3674228,06:36.0
48.1682901,11.5860954,39:34.8
48.1416706,11.574005,31:58.0
53.4811182,-2.2477072,57:15.0
48.1470111,11.561148,37:07.0
48.1469525,11.5610886,42:21.4
48.1058553,11.480025,15:14.9
48.1069313,11.4775378,13:20.4
48.1469423,11.5610804,26:19.9
9.9347599,76.3776686,19:45.0
48.1068338,11.4774827,30:27.0
48.1068215,11.4774818,57:29.0
48.1067904,11.4773776,16:05.5
48.1066843,11.4775107,26:11.0
48.1068129,11.4775067,51:55.3
40.905913,29.3132531,21:13.8
48.10735,11.4774451,22:36.6
48.1068339,11.4774463,42:36.7
48.1067964,11.4775345,51:09.1
51.5072735,-0.1050395,50:26.0
48.1300015,11.5952523,27:09.5
48.1916499,11.6482496,05:38.5
57.1792842,-3.8355562,12:17.0
48.1801904,11.5535143,58:18.1
48.1470923,11.5611648,11:42.0
48.1801845,11.5535313,09:14.7
48.1470365,11.5610813,09:13.0
52.5205556,13.4065328,00:07.0
48.1066874,11.4774683,41:36.2
55.9501962,-3.1893591,40:11.3
48.137272,11.5687898,11:21.0
48.116258,11.507705,52:16.4
48.1068231,11.4774423,45:13.5
48.134149,11.5514075,22:25.0
48.1572726,11.5843822,12:23.7
9.9353611,76.377776,16:32.1
48.1794595,11.5575313,55:07.6
9.9348504,76.3777957,25:06.8
48.1068475,11.4774403,02:06.0
48.2627538,11.6672315,29:37.1
48.1067658,11.4773289,10:48.2
48.1153484,11.4793844,37:51.8
48.1469847,11.5611638,45:33.1
48.1801713,11.553552,35:28.7
48.1470463,11.5606743,34:53.2
48.1344295,11.5703059,08:14.0
48.1468193,11.5610936,40:45.8
